Title,Year,Director,Writers,Actors,Genre,IMDb Rating,Rotten Tomatoes
Argo,2012,Ben Affleck,"Chris Terrio, Tony Mendez, Joshuah Bearman","Ben Affleck, Bryan Cranston, John Goodman","Biography, Drama, History",7.7,96%
Get Out,2017,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","Horror, Mystery, Thriller",7.8,98%
The Kid,1921,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan","Comedy, Drama, Family",8.2,100%
Mission: Impossible - Dead Reckoning Part One,2023,Christopher McQuarrie,"Bruce Geller, Christopher McQuarrie, Erik Jendresen","Tom Cruise, Hayley Atwell, Ving Rhames","Action, Adventure, Thriller",7.7,96%
The Pianist,2002,Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Thomas Kretschmann, Frank Finlay","Biography, Drama, Music",8.5,95%
Kind Hearts and Coronets,1949,Robert Hamer,"Roy Horniman, Robert Hamer, John Dighton","Dennis Price, Alec Guinness, Valerie Hobson","Comedy, Crime",8.0,100%
The 400 Blows,1959,François Truffaut,"François Truffaut, Marcel Moussy","Jean-Pierre Léaud, Albert Rémy, Claire Maurier","Crime, Drama",8.1,99%
Grave of the Fireflies,1988,Isao Takahata,"Akiyuki Nosaka, Isao Takahata","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi","Animation, Drama, War",8.5,100%
The Big Sick,2017,Michael Showalter,"Emily V. Gordon, Kumail Nanjiani","Kumail Nanjiani, Zoe Kazan, Holly Hunter","Comedy, Drama, Romance",7.5,98%
Minari,2020,Lee Isaac Chung,Lee Isaac Chung,"Steven Yeun, Han Ye-ri, Alan Kim",Drama,7.4,98%
Portrait of a Lady on Fire,2019,Céline Sciamma,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami","Drama, Romance",8.1,97%
The Treasure of the Sierra Madre,1948,John Huston,"John Huston, B. Traven","Humphrey Bogart, Walter Huston, Tim Holt","Adventure, Drama, Western",8.2,100%
Apocalypse Now,1979,Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr","Martin Sheen, Marlon Brando, Robert Duvall","Drama, Mystery, War",8.4,90%
Mission: Impossible - Fallout,2018,Christopher McQuarrie,"Bruce Geller, Christopher McQuarrie","Tom Cruise, Henry Cavill, Ving Rhames","Action, Adventure, Thriller",7.7,98%
The Last Picture Show,1971,Peter Bogdanovich,"Larry McMurtry, Peter Bogdanovich","Timothy Bottoms, Jeff Bridges, Cybill Shepherd","Drama, Romance",8.0,98%
Tampopo,1985,Jûzô Itami,Jûzô Itami,"Ken Watanabe, Tsutomu Yamazaki, Nobuko Miyamoto",Comedy,7.9,100%
Mad Max: Fury Road,2015,George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult","Action, Adventure, Sci-Fi",8.1,97%
Tokyo Story,1953,Yasujirô Ozu,"Kôgo Noda, Yasujirô Ozu","Chishû Ryû, Chieko Higashiyama, Sô Yamamura",Drama,8.1,100%
A Hard Day's Night,1964,Richard Lester,Alun Owen,"John Lennon, Paul McCartney, George Harrison","Comedy, Musical",7.5,98%
Metropolis,1927,Fritz Lang,"Thea von Harbou, Fritz Lang","Brigitte Helm, Alfred Abel, Gustav Fröhlich","Drama, Sci-Fi",8.3,97%
Good Will Hunting,1997,Gus Van Sant,"Matt Damon, Ben Affleck","Robin Williams, Matt Damon, Ben Affleck","Drama, Romance",8.3,97%
The Gold Rush,1925,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray","Adventure, Comedy, Drama",8.1,100%
Aliens,1986,James Cameron,"James Cameron, David Giler, Walter Hill","Sigourney Weaver, Michael Biehn, Carrie Henn","Action, Adventure, Sci-Fi",8.4,94%
Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Animation, Action, Adventure",8.6,95%
"The Good, the Bad and the Ugly",1966,Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci","Clint Eastwood, Eli Wallach, Lee Van Cleef","Adventure, Drama, Western",8.8,97%
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","Adventure, Family, Fantasy",8.1,96%
